   TIME(S)      HFALL(M)     DJET(M)      DFALL(M)     UJET(M)      UFALL(M)     WEBER(-)     FROUDE(-)    XPSAITO(M)   XPEPSTN(M)   XLPENT(M)    XLPENA(M)     DWAT(M)      FRAG(-)     XMBEDT(KG)   XMCORT(KG)   TSINJO(K)     TSINJ(K)   EINJO(J/KG)   EINJ(J/KG)   PV(KG/M3)    PL(KG/M3)   XDOTJ(KG/S)
  0.40000E+00  0.10681E+01  0.60000E+00  0.57214E+00  0.10007E+02  0.11006E+02  0.76373E+02  0.21558E+02  0.16843E+02  0.61191E+02  0.16843E+02  0.47403E+01  0.47403E+01  0.48367E+00  0.61277E+04  0.27424E+05  0.28000E+04  0.28000E+04  0.12434E+01  0.12434E+01  0.57307E+00  0.95866E+03  0.24727E+05
  0.80000E+00  0.32137E+01  0.60000E+00  0.53099E+00  0.10007E+02  0.12777E+02  0.95539E+02  0.31310E+02  0.18839E+02  0.56790E+02  0.18839E+02  0.26853E+01  0.26853E+01  0.26477E+00  0.87077E+04  0.37315E+05  0.28000E+04  0.28000E+04  0.12434E+01  0.12434E+01  0.57307E+00  0.95866E+03  0.24727E+05
  0.12000E+01  0.54805E+01  0.60000E+00  0.49993E+00  0.10007E+02  0.14415E+02  0.11448E+03  0.42324E+02  0.20622E+02  0.53468E+02  0.20622E+02  0.36822E+00  0.36822E+00  0.35393E-01  0.89980E+04  0.47206E+05  0.28000E+04  0.28000E+04  0.12434E+01  0.12434E+01  0.57307E+00  0.95866E+03  0.24727E+05
  0.16000E+01  0.52384E+01  0.60000E+00  0.37932E+00  0.44224E+01  0.11065E+02  0.51184E+02  0.32871E+02  0.13789E+02  0.40568E+02  0.13789E+02  0.70787E+00  0.70787E+00  0.10004E+00  0.93309E+04  0.51577E+05  0.28000E+04  0.28000E+04  0.12434E+01  0.12434E+01  0.57307E+00  0.95866E+03  0.10927E+05
  0.20000E+01  0.48649E+01  0.60000E+00  0.38522E+00  0.44224E+01  0.10729E+02  0.48866E+02  0.30428E+02  0.13473E+02  0.41200E+02  0.13473E+02  0.10854E+01  0.10854E+01  0.15463E+00  0.98813E+04  0.55948E+05  0.28000E+04  0.28000E+04  0.12434E+01  0.12434E+01  0.57307E+00  0.95866E+03  0.10927E+05
  0.24000E+01  0.45088E+01  0.60000E+00  0.43929E+00  0.59754E+01  0.11147E+02  0.60157E+02  0.28805E+02  0.14949E+02  0.46983E+02  0.14949E+02  0.14230E+01  0.14230E+01  0.18133E+00  0.10832E+05  0.61854E+05  0.28000E+04  0.28000E+04  0.12434E+01  0.12434E+01  0.57307E+00  0.95866E+03  0.14765E+05
  0.28000E+01  0.58005E+01  0.60000E+00  0.41936E+00  0.59755E+01  0.12232E+02  0.69151E+02  0.36334E+02  0.16027E+02  0.44851E+02  0.16027E+02  0.12031E+00  0.12031E+00  0.14957E-01  0.12821E+05  0.67759E+05  0.28000E+04  0.28000E+04  0.12434E+01  0.12434E+01  0.57307E+00  0.95866E+03  0.14765E+05
  0.32000E+01  0.54748E+01  0.60000E+00  0.42396E+00  0.59755E+01  0.11968E+02  0.66922E+02  0.34403E+02  0.15767E+02  0.45343E+02  0.15767E+02  0.44463E+00  0.44463E+00  0.55606E-01  0.13009E+05  0.73665E+05  0.28000E+04  0.28000E+04  0.12434E+01  0.12434E+01  0.57307E+00  0.95866E+03  0.14765E+05
  0.36000E+01  0.51920E+01  0.60000E+00  0.42817E+00  0.59755E+01  0.11734E+02  0.64967E+02  0.32744E+02  0.15535E+02  0.45794E+02  0.15535E+02  0.73105E+00  0.73105E+00  0.91903E-01  0.13451E+05  0.79571E+05  0.28000E+04  0.28000E+04  0.12434E+01  0.12434E+01  0.57307E+00  0.95866E+03  0.14765E+05
  0.40000E+01  0.47649E+01  0.60000E+00  0.43496E+00  0.59755E+01  0.11371E+02  0.61975E+02  0.30269E+02  0.15173E+02  0.46519E+02  0.15173E+02  0.11632E+01  0.11632E+01  0.14745E+00  0.14138E+05  0.85477E+05  0.28000E+04  0.28000E+04  0.12434E+01  0.12434E+01  0.57307E+00  0.95866E+03  0.14765E+05
