   TIME(S)     FINJ(KG/S)     FDC(KG/S)    FSTM(KG/S)     TINJ(KG)       TDC(KG)      TSTM(KG)     TWATFLR(KG)    WBAL(KG)    FSTMJT(KG/S)   TSTMJT(KG)
 0.40000E+00   0.00000E+00   0.00000E+00   0.95333E+02   0.00000E+00   0.00000E+00   0.40340E+02   0.38378E+05   0.66960E-01   0.10872E+03   0.41703E+02
 0.80000E+00   0.00000E+00   0.00000E+00   0.92391E+02   0.00000E+00   0.00000E+00   0.81588E+02   0.38337E+05   0.47875E-01   0.10197E+03   0.85267E+02
 0.12000E+01   0.00000E+00   0.00000E+00   0.92232E+02   0.00000E+00   0.00000E+00   0.12147E+03   0.38297E+05   0.31484E-01   0.98529E+02   0.12750E+03
 0.16000E+01   0.00000E+00   0.00000E+00   0.95583E+02   0.00000E+00   0.00000E+00   0.15981E+03   0.38258E+05   0.27435E-01   0.10107E+03   0.16831E+03
 0.20000E+01   0.00000E+00   0.00000E+00   0.92785E+02   0.00000E+00   0.00000E+00   0.19725E+03   0.38221E+05   0.30745E-01   0.98934E+02   0.20800E+03
 0.24000E+01   0.00000E+00   0.00000E+00   0.96797E+02   0.00000E+00   0.00000E+00   0.23533E+03   0.38183E+05   0.28392E-01   0.10248E+03   0.24856E+03
 0.28000E+01   0.00000E+00   0.00000E+00   0.88814E+02   0.00000E+00   0.00000E+00   0.27248E+03   0.38146E+05   0.28524E-01   0.94519E+02   0.28775E+03
 0.32000E+01   0.00000E+00   0.00000E+00   0.92177E+02   0.00000E+00   0.00000E+00   0.30901E+03   0.38109E+05   0.25589E-01   0.97295E+02   0.32663E+03
 0.36000E+01   0.00000E+00   0.00000E+00   0.93015E+02   0.00000E+00   0.00000E+00   0.34547E+03   0.38073E+05   0.31364E-01   0.99288E+02   0.36541E+03
 0.40000E+01   0.00000E+00   0.00000E+00   0.10288E+03   0.00000E+00   0.00000E+00   0.38454E+03   0.38034E+05   0.29175E-01   0.10872E+03   0.40720E+03
 0.44000E+01   0.00000E+00   0.00000E+00   0.87385E+02   0.00000E+00   0.00000E+00   0.42270E+03   0.37996E+05   0.27101E-01   0.92806E+02   0.44715E+03
 0.48000E+01   0.00000E+00   0.00000E+00   0.94780E+02   0.00000E+00   0.00000E+00   0.45921E+03   0.37959E+05   0.25356E-01   0.99851E+02   0.48611E+03
 0.52000E+01   0.00000E+00   0.00000E+00   0.91053E+02   0.00000E+00   0.00000E+00   0.49569E+03   0.37923E+05   0.29565E-01   0.96966E+02   0.52472E+03
 0.56000E+01   0.00000E+00   0.00000E+00   0.98068E+02   0.00000E+00   0.00000E+00   0.53600E+03   0.37882E+05   0.19151E-01   0.10190E+03   0.56686E+03
 0.60000E+01   0.00000E+00   0.00000E+00   0.10087E+03   0.00000E+00   0.00000E+00   0.57512E+03   0.37843E+05   0.31258E-01   0.10712E+03   0.60846E+03
