   TIME(S)     FINJ(KG/S)     FDC(KG/S)    FSTM(KG/S)     TINJ(KG)       TDC(KG)      TSTM(KG)     TWATFLR(KG)    WBAL(KG)    FSTMJT(KG/S)   TSTMJT(KG)
 0.40000E+00   0.00000E+00   0.00000E+00   0.60116E+04   0.00000E+00   0.00000E+00   0.25156E+04   0.36358E+06   0.52369E+04   0.63969E+04   0.28305E+04
 0.80000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00  -0.71237E+03   0.35220E+06   0.19839E+05   0.00000E+00   0.28623E+04
 0.12000E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00  -0.11365E+04   0.34014E+06   0.32320E+05   0.00000E+00   0.28623E+04
 0.16000E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00  -0.13847E+04   0.32714E+06   0.45577E+05   0.00000E+00   0.28623E+04
 0.20000E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00  -0.25581E+04   0.32253E+06   0.51353E+05   0.00000E+00   0.28623E+04
 0.24000E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00  -0.25855E+04   0.31787E+06   0.56047E+05   0.00000E+00   0.28623E+04
 0.28000E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00  -0.29262E+04   0.31401E+06   0.60242E+05   0.00000E+00   0.28623E+04
 0.32000E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00  -0.72737E+04   0.31428E+06   0.64320E+05   0.00000E+00   0.28623E+04
 0.36000E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00  -0.10036E+05   0.31059E+06   0.70777E+05   0.00000E+00   0.28623E+04
 0.40000E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00  -0.11472E+05   0.30980E+06   0.72998E+05   0.00000E+00   0.28623E+04
 0.44000E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00  -0.12250E+05   0.30724E+06   0.76337E+05   0.00000E+00   0.28623E+04
 0.48000E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00  -0.13643E+05   0.30519E+06   0.79780E+05   0.00000E+00   0.28623E+04
 0.52000E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00  -0.14035E+05   0.30325E+06   0.82110E+05   0.60608E+03   0.30200E+04
 0.56000E+01   0.00000E+00   0.00000E+00   0.58867E+03   0.00000E+00   0.00000E+00  -0.14025E+05   0.30224E+06   0.83111E+05   0.58718E+03   0.30409E+04
 0.60000E+01   0.00000E+00   0.00000E+00   0.45551E+03   0.00000E+00   0.00000E+00  -0.13841E+05   0.29975E+06   0.85420E+05   0.48120E+03   0.32443E+04
 0.64000E+01   0.00000E+00   0.00000E+00  -0.25151E+03   0.00000E+00   0.00000E+00  -0.13889E+05   0.29834E+06   0.86874E+05   0.46713E+03   0.32825E+04
 0.68000E+01   0.00000E+00   0.00000E+00   0.44487E+03   0.00000E+00   0.00000E+00  -0.13771E+05   0.29673E+06   0.88372E+05   0.43852E+03   0.34398E+04
