   TIME(S)      HFALL(M)     DJET(M)      DFALL(M)     UJET(M)      UFALL(M)     WEBER(-)     FROUDE(-)    XPSAITO(M)   XPEPSTN(M)   XLPENT(M)    XLPENA(M)     DWAT(M)      FRAG(-)     XMBEDT(KG)   XMCORT(KG)   TSINJO(K)     TSINJ(K)   EINJO(J/KG)   EINJ(J/KG)   PV(KG/M3)    PL(KG/M3)   XDOTJ(KG/S)
  0.40000E+00  0.77162E+01  0.30000E+00  0.17154E+00  0.42593E+01  0.13026E+02  0.73206E+02  0.10073E+03  0.10145E+02  0.84160E+01  0.84160E+01  0.46483E+00  0.46483E+00  0.10741E+00  0.10476E+03  0.87388E+03  0.22740E+04  0.22740E+04  0.10447E+01  0.10447E+01  0.22625E+01  0.92163E+03  0.21847E+04
  0.80000E+00  0.77154E+01  0.30000E+00  0.17155E+00  0.42593E+01  0.13026E+02  0.73201E+02  0.10072E+03  0.10145E+02  0.84162E+01  0.84162E+01  0.43515E+00  0.43515E+00  0.10073E+00  0.19879E+03  0.17478E+04  0.22740E+04  0.22740E+04  0.10447E+01  0.10447E+01  0.22625E+01  0.92163E+03  0.21847E+04
  0.12000E+01  0.77174E+01  0.30000E+00  0.17154E+00  0.42593E+01  0.13027E+02  0.73213E+02  0.10075E+03  0.10146E+02  0.84157E+01  0.84157E+01  0.42007E+00  0.42007E+00  0.97339E-01  0.28993E+03  0.26216E+04  0.22740E+04  0.22740E+04  0.10447E+01  0.10447E+01  0.22625E+01  0.92163E+03  0.21847E+04
  0.16000E+01  0.76993E+01  0.30000E+00  0.17163E+00  0.42593E+01  0.13014E+02  0.73098E+02  0.10048E+03  0.10138E+02  0.84201E+01  0.84201E+01  0.43143E+00  0.43143E+00  0.99850E-01  0.37802E+03  0.34955E+04  0.22740E+04  0.22740E+04  0.10447E+01  0.10447E+01  0.22625E+01  0.92163E+03  0.21847E+04
  0.20000E+01  0.77002E+01  0.30000E+00  0.17162E+00  0.42593E+01  0.13014E+02  0.73104E+02  0.10050E+03  0.10138E+02  0.84199E+01  0.84199E+01  0.42205E+00  0.42205E+00  0.97739E-01  0.46369E+03  0.43694E+04  0.22740E+04  0.22740E+04  0.10447E+01  0.10447E+01  0.22625E+01  0.92163E+03  0.21847E+04
  0.24000E+01  0.76806E+01  0.30000E+00  0.17172E+00  0.42593E+01  0.13000E+02  0.72979E+02  0.10021E+03  0.10129E+02  0.84247E+01  0.84247E+01  0.43783E+00  0.43783E+00  0.10124E+00  0.55124E+03  0.52433E+04  0.22740E+04  0.22740E+04  0.10447E+01  0.10447E+01  0.22625E+01  0.92163E+03  0.21847E+04
  0.28000E+01  0.77096E+01  0.30000E+00  0.17158E+00  0.42593E+01  0.13021E+02  0.73164E+02  0.10063E+03  0.10142E+02  0.84176E+01  0.84176E+01  0.40264E+00  0.40264E+00  0.93377E-01  0.63582E+03  0.61171E+04  0.22740E+04  0.22740E+04  0.10447E+01  0.10447E+01  0.22625E+01  0.92163E+03  0.21847E+04
  0.32000E+01  0.76942E+01  0.30000E+00  0.17165E+00  0.42593E+01  0.13010E+02  0.73066E+02  0.10041E+03  0.10135E+02  0.84213E+01  0.84213E+01  0.41495E+00  0.41495E+00  0.96120E-01  0.71973E+03  0.69910E+04  0.22740E+04  0.22740E+04  0.10447E+01  0.10447E+01  0.22625E+01  0.92163E+03  0.21847E+04
  0.36000E+01  0.76823E+01  0.30000E+00  0.17171E+00  0.42593E+01  0.13001E+02  0.72990E+02  0.10024E+03  0.10130E+02  0.84243E+01  0.84243E+01  0.42383E+00  0.42383E+00  0.98089E-01  0.80343E+03  0.78649E+04  0.22740E+04  0.22740E+04  0.10447E+01  0.10447E+01  0.22625E+01  0.92163E+03  0.21847E+04
  0.40000E+01  0.76384E+01  0.30000E+00  0.17193E+00  0.42593E+01  0.12968E+02  0.72711E+02  0.99598E+02  0.10111E+02  0.84350E+01  0.84350E+01  0.46585E+00  0.46585E+00  0.10741E+00  0.89361E+03  0.87388E+04  0.22740E+04  0.22740E+04  0.10447E+01  0.10447E+01  0.22625E+01  0.92163E+03  0.21847E+04
  0.44000E+01  0.77037E+01  0.30000E+00  0.17161E+00  0.42593E+01  0.13017E+02  0.73126E+02  0.10055E+03  0.10140E+02  0.84190E+01  0.84190E+01  0.39523E+00  0.39523E+00  0.91685E-01  0.97985E+03  0.96126E+04  0.22740E+04  0.22740E+04  0.10447E+01  0.10447E+01  0.22625E+01  0.92163E+03  0.21847E+04
  0.48000E+01  0.76717E+01  0.30000E+00  0.17177E+00  0.42593E+01  0.12993E+02  0.72922E+02  0.10008E+03  0.10126E+02  0.84269E+01  0.84269E+01  0.42642E+00  0.42642E+00  0.98645E-01  0.10639E+04  0.10487E+05  0.22740E+04  0.22740E+04  0.10447E+01  0.10447E+01  0.22625E+01  0.92163E+03  0.21847E+04
  0.52000E+01  0.76812E+01  0.30000E+00  0.17172E+00  0.42593E+01  0.13000E+02  0.72983E+02  0.10022E+03  0.10130E+02  0.84245E+01  0.84245E+01  0.41367E+00  0.41367E+00  0.95795E-01  0.11473E+04  0.11360E+05  0.22740E+04  0.22740E+04  0.10447E+01  0.10447E+01  0.22625E+01  0.92163E+03  0.21847E+04
