   TIME(S)      HFALL(M)     DJET(M)      DFALL(M)     UJET(M)      UFALL(M)     WEBER(-)     FROUDE(-)    XPSAITO(M)   XPEPSTN(M)   XLPENT(M)    XLPENA(M)     DWAT(M)      FRAG(-)     XMBEDT(KG)   XMCORT(KG)   TSINJO(K)     TSINJ(K)   EINJO(J/KG)   EINJ(J/KG)   PV(KG/M3)    PL(KG/M3)   XDOTJ(KG/S)
  0.80000E+00  0.22990E-01  0.30000E-01  0.29165E-01  0.19430E+01  0.20560E+01  0.40836E-01  0.14759E+02  0.63201E+00  0.27751E+01  0.63201E+00  0.30537E-01  0.30537E-01  0.94298E-01  0.34483E+00  0.76000E+01  0.17780E+04  0.17780E+04  0.12738E+01  0.12738E+01  0.57307E+00  0.95866E+03  0.95000E+01
  0.16000E+01  0.25982E-01  0.30000E-01  0.29064E-01  0.19430E+01  0.20702E+01  0.41261E-01  0.15016E+02  0.63529E+00  0.27655E+01  0.63529E+00  0.26637E-01  0.26637E-01  0.82101E-01  0.88893E+00  0.15200E+02  0.17780E+04  0.17780E+04  0.12738E+01  0.12738E+01  0.57307E+00  0.95866E+03  0.95000E+01
  0.24000E+01  0.26787E-01  0.30000E-01  0.29037E-01  0.19430E+01  0.20740E+01  0.41375E-01  0.15085E+02  0.63617E+00  0.27630E+01  0.63617E+00  0.18589E-01  0.18589E-01  0.57586E-01  0.13457E+01  0.22800E+02  0.17780E+04  0.17780E+04  0.12738E+01  0.12738E+01  0.57307E+00  0.95866E+03  0.95000E+01
  0.32000E+01  0.27960E-01  0.30000E-01  0.28999E-01  0.19430E+01  0.20796E+01  0.41542E-01  0.15186E+02  0.63745E+00  0.27593E+01  0.63745E+00  0.11114E-01  0.11114E-01  0.34568E-01  0.17018E+01  0.30400E+02  0.17780E+04  0.17780E+04  0.12738E+01  0.12738E+01  0.57307E+00  0.95866E+03  0.95000E+01
  0.40000E+01  0.26682E-01  0.30000E-01  0.29041E-01  0.19430E+01  0.20735E+01  0.41361E-01  0.15076E+02  0.63606E+00  0.27633E+01  0.63606E+00  0.69761E-02  0.69761E-02  0.21815E-01  0.19770E+01  0.38000E+02  0.17780E+04  0.17780E+04  0.12738E+01  0.12738E+01  0.57307E+00  0.95866E+03  0.95000E+01
  0.48000E+01  0.22861E-01  0.30000E-01  0.29169E-01  0.19430E+01  0.20553E+01  0.40818E-01  0.14748E+02  0.63187E+00  0.27755E+01  0.63187E+00  0.60565E-02  0.60565E-02  0.19078E-01  0.21645E+01  0.45600E+02  0.17780E+04  0.17780E+04  0.12738E+01  0.12738E+01  0.57307E+00  0.95866E+03  0.95000E+01
  0.56000E+01  0.20713E-01  0.30000E-01  0.29242E-01  0.19430E+01  0.20451E+01  0.40512E-01  0.14564E+02  0.62950E+00  0.27824E+01  0.62950E+00  0.44991E-02  0.44991E-02  0.14243E-01  0.22753E+01  0.53200E+02  0.17780E+04  0.17780E+04  0.12738E+01  0.12738E+01  0.57307E+00  0.95866E+03  0.95000E+01
  0.64000E+01  0.20978E-01  0.30000E-01  0.29233E-01  0.19430E+01  0.20463E+01  0.40550E-01  0.14587E+02  0.62979E+00  0.27816E+01  0.62979E+00  0.14555E-02  0.14555E-02  0.46167E-02  0.23457E+01  0.60800E+02  0.17780E+04  0.17780E+04  0.12738E+01  0.12738E+01  0.57307E+00  0.95866E+03  0.95000E+01
  0.72000E+01  0.19494E-01  0.30000E-01  0.29284E-01  0.19430E+01  0.20392E+01  0.40338E-01  0.14460E+02  0.62814E+00  0.27864E+01  0.62814E+00  0.69769E-03  0.69769E-03  0.22202E-02  0.23710E+01  0.68400E+02  0.17780E+04  0.17780E+04  0.12738E+01  0.12738E+01  0.57307E+00  0.95866E+03  0.95000E+01
  0.80000E+01  0.34944E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.53673E-03  0.00000E+00  0.23724E+01  0.69065E+02  0.17780E+04  0.17780E+04  0.12738E+01  0.12738E+01  0.57307E+00  0.95866E+03  0.00000E+00
  0.88000E+01  0.37572E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.23724E+01  0.69065E+02  0.17780E+04  0.17780E+04  0.12738E+01  0.12738E+01  0.57307E+00  0.95866E+03  0.00000E+00
  0.96000E+01  0.37978E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.21801E-02  0.00000E+00  0.23724E+01  0.69065E+02  0.17780E+04  0.17780E+04  0.12738E+01  0.12738E+01  0.57307E+00  0.95866E+03  0.00000E+00
  0.10400E+02  0.45107E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.23724E+01  0.69065E+02  0.17780E+04  0.17780E+04  0.12738E+01  0.12738E+01  0.57307E+00  0.95866E+03  0.00000E+00
  0.11200E+02  0.42752E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.66404E-02  0.00000E+00  0.23724E+01  0.69065E+02  0.17780E+04  0.17780E+04  0.12738E+01  0.12738E+01  0.57307E+00  0.95866E+03  0.00000E+00
