   TIME(S)     FINJ(KG/S)     FDC(KG/S)    FSTM(KG/S)     TINJ(KG)       TDC(KG)      TSTM(KG)     TWATFLR(KG)    WBAL(KG)    FSTMJT(KG/S)   TSTMJT(KG)
 0.80000E+00   0.00000E+00   0.00000E+00   0.43691E+00   0.00000E+00   0.00000E+00   0.15734E+00   0.19485E+03   0.52059E-03   0.48823E+00   0.17549E+00
 0.16000E+01   0.00000E+00   0.00000E+00   0.38813E+00   0.00000E+00   0.00000E+00   0.42432E+00   0.19458E+03   0.37671E-03   0.42508E+00   0.47203E+00
 0.24000E+01   0.00000E+00   0.00000E+00   0.26824E+00   0.00000E+00   0.00000E+00   0.65168E+00   0.19435E+03   0.31056E-03   0.29815E+00   0.72095E+00
 0.32000E+01   0.00000E+00   0.00000E+00   0.16662E+00   0.00000E+00   0.00000E+00   0.83281E+00   0.19417E+03   0.13154E-03   0.17897E+00   0.91503E+00
 0.40000E+01   0.00000E+00   0.00000E+00   0.10985E+00   0.00000E+00   0.00000E+00   0.97600E+00   0.19403E+03   0.39601E-04   0.11295E+00   0.10650E+01
 0.48000E+01   0.00000E+00   0.00000E+00   0.99082E-01   0.00000E+00   0.00000E+00   0.10766E+01   0.19393E+03   0.53178E-05   0.98776E-01   0.11672E+01
 0.56000E+01   0.00000E+00   0.00000E+00   0.13104E+00   0.00000E+00   0.00000E+00   0.11617E+01   0.19384E+03  -0.21111E-03   0.73743E-01   0.12276E+01
 0.64000E+01   0.00000E+00   0.00000E+00   0.85299E-01   0.00000E+00   0.00000E+00   0.12472E+01   0.19376E+03  -0.22964E-03   0.23903E-01   0.12660E+01
 0.72000E+01   0.00000E+00   0.00000E+00   0.77277E-01   0.00000E+00   0.00000E+00   0.13126E+01   0.19369E+03  -0.23818E-03   0.11495E-01   0.12798E+01
 0.80000E+01   0.00000E+00   0.00000E+00   0.68985E-01   0.00000E+00   0.00000E+00   0.13670E+01   0.19364E+03  -0.23755E-03   0.00000E+00   0.12805E+01
 0.88000E+01   0.00000E+00   0.00000E+00  -0.35026E-05   0.00000E+00   0.00000E+00   0.13676E+01   0.19364E+03  -0.23817E-03   0.00000E+00   0.12805E+01
 0.96000E+01   0.00000E+00   0.00000E+00   0.87585E-01   0.00000E+00   0.00000E+00   0.14293E+01   0.19358E+03  -0.22585E-03   0.00000E+00   0.12805E+01
 0.10400E+02   0.00000E+00   0.00000E+00   0.86294E-01   0.00000E+00   0.00000E+00   0.14949E+01   0.19351E+03   0.12961E-02   0.00000E+00   0.12805E+01
 0.11200E+02   0.00000E+00   0.00000E+00   0.82145E-01   0.00000E+00   0.00000E+00   0.15573E+01   0.19345E+03   0.28116E-02   0.00000E+00   0.12805E+01
 0.12000E+02   0.00000E+00   0.00000E+00   0.13627E+00   0.00000E+00   0.00000E+00   0.16418E+01   0.19336E+03   0.56464E-02   0.00000E+00   0.12805E+01
 0.12800E+02   0.00000E+00   0.00000E+00   0.13800E+00   0.00000E+00   0.00000E+00   0.17575E+01   0.19324E+03   0.59177E-02   0.00000E+00   0.12805E+01
 0.13600E+02   0.00000E+00   0.00000E+00   0.12544E+00   0.00000E+00   0.00000E+00   0.18645E+01   0.19314E+03   0.59666E-02   0.00000E+00   0.12805E+01
 0.14400E+02   0.00000E+00   0.00000E+00   0.12191E+00   0.00000E+00   0.00000E+00   0.19633E+01   0.19304E+03   0.60035E-02   0.00000E+00   0.12805E+01
 0.15200E+02   0.00000E+00   0.00000E+00   0.12452E+00   0.00000E+00   0.00000E+00   0.20629E+01   0.19294E+03   0.59900E-02   0.00000E+00   0.12805E+01
 0.16000E+02   0.00000E+00   0.00000E+00   0.12570E+00   0.00000E+00   0.00000E+00   0.21647E+01   0.19284E+03   0.59989E-02   0.00000E+00   0.12805E+01
 0.16800E+02   0.00000E+00   0.00000E+00   0.12338E+00   0.00000E+00   0.00000E+00   0.22663E+01   0.19273E+03   0.61097E-02   0.00000E+00   0.12805E+01
 0.17600E+02   0.00000E+00   0.00000E+00   0.11950E+00   0.00000E+00   0.00000E+00   0.23657E+01   0.19263E+03   0.62559E-02   0.00000E+00   0.12805E+01
 0.18400E+02   0.00000E+00   0.00000E+00   0.11676E+00   0.00000E+00   0.00000E+00   0.24616E+01   0.19254E+03   0.62455E-02   0.00000E+00   0.12805E+01
 0.19200E+02   0.00000E+00   0.00000E+00   0.12130E+00   0.00000E+00   0.00000E+00   0.25597E+01   0.19244E+03   0.61944E-02   0.00000E+00   0.12805E+01
 0.20000E+02   0.00000E+00   0.00000E+00   0.12532E+00   0.00000E+00   0.00000E+00   0.26600E+01   0.19234E+03   0.61677E-02   0.00000E+00   0.12805E+01
 0.20800E+02   0.00000E+00   0.00000E+00   0.12793E+00   0.00000E+00   0.00000E+00   0.27651E+01   0.19223E+03   0.61550E-02   0.00000E+00   0.12805E+01
 0.21600E+02   0.00000E+00   0.00000E+00   0.12601E+00   0.00000E+00   0.00000E+00   0.28695E+01   0.19213E+03   0.61568E-02   0.00000E+00   0.12805E+01
 0.22400E+02   0.00000E+00   0.00000E+00   0.12277E+00   0.00000E+00   0.00000E+00   0.29714E+01   0.19203E+03   0.61673E-02   0.00000E+00   0.12805E+01
 0.23200E+02   0.00000E+00   0.00000E+00   0.12302E+00   0.00000E+00   0.00000E+00   0.30725E+01   0.19193E+03   0.61509E-02   0.00000E+00   0.12805E+01
 0.24000E+02   0.00000E+00   0.00000E+00   0.12671E+00   0.00000E+00   0.00000E+00   0.31772E+01   0.19182E+03   0.60950E-02   0.00000E+00   0.12805E+01
 0.24800E+02   0.00000E+00   0.00000E+00   0.12304E+00   0.00000E+00   0.00000E+00   0.32825E+01   0.19172E+03   0.61173E-02   0.00000E+00   0.12805E+01
 0.25600E+02   0.00000E+00   0.00000E+00   0.11589E+00   0.00000E+00   0.00000E+00   0.33822E+01   0.19162E+03   0.62276E-02   0.00000E+00   0.12805E+01
 0.26400E+02   0.00000E+00   0.00000E+00   0.11219E+00   0.00000E+00   0.00000E+00   0.34768E+01   0.19152E+03   0.66116E-02   0.00000E+00   0.12805E+01
 0.27200E+02   0.00000E+00   0.00000E+00   0.11353E+00   0.00000E+00   0.00000E+00   0.35691E+01   0.19143E+03   0.66134E-02   0.00000E+00   0.12805E+01
 0.28000E+02   0.00000E+00   0.00000E+00   0.11803E+00   0.00000E+00   0.00000E+00   0.36663E+01   0.19133E+03   0.65702E-02   0.00000E+00   0.12805E+01
 0.28800E+02   0.00000E+00   0.00000E+00   0.11647E+00   0.00000E+00   0.00000E+00   0.37629E+01   0.19124E+03   0.65824E-02   0.00000E+00   0.12805E+01
 0.29600E+02   0.00000E+00   0.00000E+00   0.11622E+00   0.00000E+00   0.00000E+00   0.38586E+01   0.19114E+03   0.65832E-02   0.00000E+00   0.12805E+01
 0.30400E+02   0.00000E+00   0.00000E+00   0.11634E+00   0.00000E+00   0.00000E+00   0.39539E+01   0.19105E+03   0.65767E-02   0.00000E+00   0.12805E+01
 0.31200E+02   0.00000E+00   0.00000E+00   0.12344E+00   0.00000E+00   0.00000E+00   0.40505E+01   0.19095E+03   0.65269E-02   0.00000E+00   0.12805E+01
 0.32000E+02   0.00000E+00   0.00000E+00   0.12269E+00   0.00000E+00   0.00000E+00   0.41508E+01   0.19085E+03   0.65269E-02   0.00000E+00   0.12805E+01
 0.32800E+02   0.00000E+00   0.00000E+00   0.12074E+00   0.00000E+00   0.00000E+00   0.42503E+01   0.19075E+03   0.65441E-02   0.00000E+00   0.12805E+01
 0.33600E+02   0.00000E+00   0.00000E+00   0.11653E+00   0.00000E+00   0.00000E+00   0.43464E+01   0.19065E+03   0.65771E-02   0.00000E+00   0.12805E+01
 0.34400E+02   0.00000E+00   0.00000E+00   0.11415E+00   0.00000E+00   0.00000E+00   0.44397E+01   0.19056E+03   0.65902E-02   0.00000E+00   0.12805E+01
 0.35200E+02   0.00000E+00   0.00000E+00   0.11490E+00   0.00000E+00   0.00000E+00   0.45316E+01   0.19047E+03   0.65877E-02   0.00000E+00   0.12805E+01
 0.36000E+02   0.00000E+00   0.00000E+00   0.11516E+00   0.00000E+00   0.00000E+00   0.46246E+01   0.19037E+03   0.65768E-02   0.00000E+00   0.12805E+01
 0.36800E+02   0.00000E+00   0.00000E+00   0.11855E+00   0.00000E+00   0.00000E+00   0.47197E+01   0.19028E+03   0.65666E-02   0.00000E+00   0.12805E+01
 0.37600E+02   0.00000E+00   0.00000E+00   0.11418E+00   0.00000E+00   0.00000E+00   0.48129E+01   0.19019E+03   0.66134E-02   0.00000E+00   0.12805E+01
 0.38400E+02   0.00000E+00   0.00000E+00   0.10916E+00   0.00000E+00   0.00000E+00   0.49015E+01   0.19010E+03   0.66614E-02   0.00000E+00   0.12805E+01
 0.39200E+02   0.00000E+00   0.00000E+00   0.10919E+00   0.00000E+00   0.00000E+00   0.49888E+01   0.19001E+03   0.66584E-02   0.00000E+00   0.12805E+01
 0.40000E+02   0.00000E+00   0.00000E+00   0.11459E+00   0.00000E+00   0.00000E+00   0.50775E+01   0.18992E+03   0.66120E-02   0.00000E+00   0.12805E+01
 0.40800E+02   0.00000E+00   0.00000E+00   0.11607E+00   0.00000E+00   0.00000E+00   0.51698E+01   0.18983E+03   0.66120E-02   0.00000E+00   0.12805E+01
 0.41600E+02   0.00000E+00   0.00000E+00   0.11306E+00   0.00000E+00   0.00000E+00   0.52617E+01   0.18974E+03   0.66293E-02   0.00000E+00   0.12805E+01
 0.42400E+02   0.00000E+00   0.00000E+00   0.11003E+00   0.00000E+00   0.00000E+00   0.53505E+01   0.18965E+03   0.66315E-02   0.00000E+00   0.12805E+01
