   TIME(S)     FINJ(KG/S)     FDC(KG/S)    FSTM(KG/S)     TINJ(KG)       TDC(KG)      TSTM(KG)     TWATFLR(KG)    WBAL(KG)    FSTMJT(KG/S)   TSTMJT(KG)
 0.40000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.93118E+03   0.00000E+00   0.00000E+00   0.00000E+00
 0.80000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.93118E+03  -0.11369E-12   0.00000E+00   0.00000E+00
 0.12000E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.93118E+03   0.00000E+00   0.00000E+00   0.00000E+00
 0.16000E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.93118E+03   0.00000E+00   0.00000E+00   0.00000E+00
 0.20000E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.93118E+03   0.00000E+00   0.00000E+00   0.00000E+00
 0.24000E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.93118E+03   0.34106E-12   0.00000E+00   0.00000E+00
 0.28000E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.93118E+03   0.11369E-12   0.00000E+00   0.00000E+00
 0.32000E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.93118E+03   0.11369E-12   0.00000E+00   0.00000E+00
 0.36000E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.93118E+03   0.11369E-12   0.00000E+00   0.00000E+00
 0.40000E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.93118E+03   0.11369E-12   0.00000E+00   0.00000E+00
 0.44000E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.93118E+03   0.00000E+00   0.00000E+00   0.00000E+00
 0.48000E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.93118E+03   0.00000E+00   0.00000E+00   0.00000E+00
 0.52000E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.93118E+03   0.45475E-12   0.00000E+00   0.00000E+00
 0.56000E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.93118E+03  -0.22737E-12   0.00000E+00   0.00000E+00
 0.60000E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.93118E+03   0.22737E-12   0.00000E+00   0.00000E+00
 0.64000E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.93118E+03   0.68212E-12   0.00000E+00   0.00000E+00
 0.68000E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.93118E+03   0.34106E-12   0.00000E+00   0.00000E+00
 0.72000E+01   0.00000E+00   0.00000E+00   0.54163E-01   0.00000E+00   0.00000E+00   0.37063E-02   0.93117E+03  -0.12301E-03   0.00000E+00   0.00000E+00
 0.76000E+01   0.00000E+00   0.00000E+00   0.15750E+00   0.00000E+00   0.00000E+00   0.59178E-01   0.93112E+03  -0.30333E-03   0.00000E+00   0.00000E+00
 0.80000E+01   0.00000E+00   0.00000E+00   0.16943E+00   0.00000E+00   0.00000E+00   0.12529E+00   0.93105E+03  -0.37499E-03   0.00000E+00   0.00000E+00
 0.84000E+01   0.00000E+00   0.00000E+00   0.57758E-01   0.00000E+00   0.00000E+00   0.17361E+00   0.93100E+03  -0.19661E-03   0.00000E+00   0.00000E+00
 0.88000E+01   0.00000E+00   0.00000E+00   0.59977E-01   0.00000E+00   0.00000E+00   0.19605E+00   0.93098E+03  -0.13716E-03   0.00000E+00   0.00000E+00
 0.92000E+01   0.00000E+00   0.00000E+00   0.10222E+00   0.00000E+00   0.00000E+00   0.22073E+00   0.93096E+03  -0.17985E-03   0.00000E+00   0.00000E+00
 0.96000E+01   0.00000E+00   0.00000E+00   0.36900E-01   0.00000E+00   0.00000E+00   0.23888E+00   0.93094E+03  -0.18897E-03   0.00000E+00   0.00000E+00
 0.10000E+02   0.00000E+00   0.00000E+00   0.50425E-01   0.00000E+00   0.00000E+00   0.25885E+00   0.93092E+03  -0.22147E-03   0.00000E+00   0.00000E+00
 0.10400E+02   0.00000E+00   0.00000E+00   0.11796E+00   0.00000E+00   0.00000E+00   0.27889E+00   0.93090E+03  -0.20653E-03   0.00000E+00   0.00000E+00
 0.10800E+02   0.00000E+00   0.00000E+00   0.83594E-01   0.00000E+00   0.00000E+00   0.31835E+00   0.93086E+03  -0.20201E-03   0.00000E+00   0.00000E+00
